"assembled_transcript","Pru_locus"
"TR4085-c0_g1_i1","Pc13g09680"
"TR14818-c0_g1_i1","Pc13g09680"
"TR11184-c0_g1_i1","Pc13g09680"
"TR7515-c0_g1_i1","Pc13g09680"
"TR3967-c0_g1_i1","Pc13g09680"
"TR11218-c0_g1_i1","Pc13g09680"
"TR3882-c0_g1_i1","Pc13g09680"
"TR9757-c0_g1_i1","Pc13g09680"
"TR2843-c0_g1_i1","Pc13g09690"
"TR4873-c0_g1_i1","Pc13g09690"
"TR6601-c0_g1_i1","Pc13g09740"
"TR10191-c0_g1_i1","Pc13g09740"
"TR10467-c0_g1_i1","Pc13g09740"
"TR12735-c0_g1_i1","Pc13g09760"
"TR9203-c0_g1_i1","Pc13g09760"
"TR162-c1_g1_i1","Pc13g09810"
"TR2125-c0_g1_i1","Pc13g09880"
"TR8978-c0_g1_i1","Pc13g09880"
"TR10733-c0_g1_i1","Pc13g09900"
"TR7397-c0_g1_i1","Pc13g09900"
"TR6539-c0_g1_i1","Pc13g09960"
"TR11594-c0_g1_i1","Pc13g09980"
"TR14377-c0_g1_i1","Pc13g09990"
"TR2685-c0_g1_i1","Pc13g10000"
"TR11995-c0_g1_i1","Pc13g10030"
"TR12264-c0_g1_i1","Pc13g10030"
"TR7217-c1_g1_i1","Pc13g10030"
"TR7217-c0_g1_i1","Pc13g10030"
"TR5560-c0_g1_i1","Pc13g10030"
"TR13504-c0_g1_i1","Pc13g10060"
"TR4435-c0_g1_i1","Pc13g10080"
"TR14574-c0_g1_i1","Pc13g10090"
"TR2249-c0_g1_i1","Pc13g10090"
"TR988-c0_g1_i1","Pc13g10090"
"TR9352-c0_g1_i1","Pc13g10090"
"TR14028-c0_g1_i1","Pc13g10100"
"TR2864-c1_g1_i1","Pc13g10110"
"TR2864-c0_g1_i1","Pc13g10110"
"TR9319-c0_g1_i1","Pc13g10110"
"TR13778-c0_g1_i1","Pc13g10120"
"TR2837-c0_g1_i1","Pc13g10140"
"TR9100-c0_g1_i1","Pc13g10160"
"TR11402-c0_g2_i1","Pc13g10180"
"TR11402-c0_g1_i1","Pc13g10180"
"TR9597-c0_g1_i1","Pc13g10210"
"TR5923-c0_g1_i1","Pc13g10210"
"TR7192-c0_g1_i1","Pc13g10270"
"TR13134-c0_g1_i1","Pc13g10300"
"TR11023-c0_g1_i1","Pc13g10300"
"TR4521-c0_g1_i1","Pc13g10330"
"TR4928-c0_g1_i1","Pc13g10330"
"TR11590-c0_g1_i1","Pc13g10330"
"TR4366-c0_g1_i1","Pc13g10360"
"TR11886-c0_g1_i1","Pc13g10390"
"TR13896-c0_g1_i1","Pc13g10430"
"TR3075-c0_g1_i1","Pc13g10490"
"TR13487-c0_g1_i1","Pc13g10500"
"TR5773-c1_g1_i1","Pc13g10510"
"TR6672-c0_g1_i1","Pc13g10510"
"TR5773-c1_g2_i1","Pc13g10510"
"TR12561-c0_g1_i1","Pc13g10530"
"TR14155-c0_g1_i1","Pc13g10540"
"TR14847-c0_g1_i1","Pc13g10550"
"TR13464-c0_g1_i1","Pc13g10620"
"TR5050-c0_g1_i1","Pc13g10640"
"TR1258-c0_g1_i1","Pc13g10670"
"TR12622-c0_g2_i1","Pc13g10690"
"TR12622-c0_g1_i1","Pc13g10690"
"TR14558-c0_g1_i1","Pc13g10690"
"TR12622-c0_g3_i1","Pc13g10690"
"TR1277-c0_g1_i1","Pc13g10700"
"TR13297-c0_g1_i1","Pc13g10740"
"TR9178-c0_g1_i1","Pc13g10770"
"TR3287-c0_g1_i1","Pc13g10780"
"TR5894-c0_g1_i1","Pc13g10800"
"TR12386-c0_g1_i1","Pc13g10800"
"TR4345-c0_g1_i1","Pc13g10810"
"TR8322-c0_g1_i1","Pc13g10810"
"TR13141-c0_g1_i1","Pc13g10820"
"TR5159-c0_g1_i1","Pc13g10840"
"TR14767-c0_g1_i1","Pc13g10870"
"TR3786-c0_g1_i1","Pc13g10970"
"TR10807-c0_g1_i1","Pc13g10970"
"TR10980-c0_g1_i1","Pc13g11000"
"TR688-c0_g1_i1","Pc13g11030"
"TR11361-c0_g1_i1","Pc13g11050"
"TR6222-c0_g1_i1","Pc13g11080"
"TR5044-c0_g1_i1","Pc13g11150"
"TR4111-c0_g1_i1","Pc13g11150"
"TR2681-c0_g1_i1","Pc13g11160"
"TR7612-c0_g1_i1","Pc13g11160"
"TR3909-c0_g1_i1","Pc13g11160"
"TR3035-c0_g1_i1","Pc13g11160"
"TR749-c0_g1_i1","Pc13g11160"
"TR13830-c0_g1_i1","Pc13g11160"
"TR12748-c0_g1_i1","Pc13g11220"
"TR11707-c0_g1_i1","Pc13g11220"
"TR3188-c0_g1_i1","Pc13g11280"
"TR11989-c0_g1_i1","Pc13g11300"
"TR6490-c0_g1_i1","Pc13g11310"
"TR7557-c0_g1_i1","Pc13g11320"
"TR10609-c0_g1_i1","Pc13g11340"
"TR7959-c0_g1_i1","Pc13g11380"
"TR4207-c0_g1_i1","Pc13g11380"
"TR5258-c0_g1_i1","Pc13g11400"
"TR7911-c0_g1_i1","Pc13g11480"
"TR12294-c0_g1_i1","Pc13g11510"
"TR14324-c0_g1_i1","Pc13g11520"
"TR1686-c0_g1_i1","Pc13g11520"
"TR8506-c0_g1_i1","Pc13g11520"
"TR13453-c0_g1_i1","Pc13g11570"
"TR3729-c0_g1_i1","Pc13g11580"
"TR6304-c0_g1_i1","Pc13g11640"
"TR3940-c0_g1_i1","Pc13g11660"
"TR7889-c0_g1_i1","Pc13g11670"
"TR5172-c0_g1_i1","Pc13g11680"
"TR7121-c0_g1_i1","Pc13g11690"
"TR6535-c0_g1_i1","Pc13g11700"
"TR1172-c0_g1_i1","Pc13g11700"
"TR1295-c0_g1_i1","Pc13g11730"
"TR9342-c0_g1_i1","Pc13g11740"
"TR696-c0_g1_i1","Pc13g11770"
"TR4968-c0_g1_i1","Pc13g11810"
"TR10399-c0_g1_i1","Pc13g11810"
"TR7413-c0_g1_i1","Pc13g11850"
"TR10261-c0_g1_i1","Pc13g11860"
"TR10333-c0_g1_i1","Pc13g11860"
"TR10494-c0_g1_i1","Pc13g11860"
"TR2239-c0_g1_i1","Pc13g11860"
"TR1035-c0_g1_i1","Pc13g11860"
"TR7319-c0_g1_i1","Pc13g11860"
"TR3873-c0_g1_i1","Pc13g11870"
"TR12611-c0_g1_i1","Pc13g11880"
"TR769-c0_g1_i1","Pc13g11890"
"TR2861-c0_g1_i1","Pc13g11900"
"TR10897-c0_g1_i1","Pc13g11930"
"TR1440-c0_g1_i1","Pc13g11940"
"TR3858-c0_g1_i1","Pc13g11950"
"TR7678-c0_g1_i1","Pc13g11960"
"TR9566-c0_g1_i1","Pc13g11970"
"TR9008-c0_g1_i1","Pc13g12000"
"TR2629-c0_g1_i1","Pc13g12010"
"TR13730-c0_g1_i1","Pc13g12020"
"TR5212-c0_g1_i1","Pc13g12080"
"TR9529-c0_g1_i1","Pc13g12080"
"TR4354-c0_g1_i1","Pc13g12080"
"TR6139-c0_g1_i1","Pc13g12090"
"TR13229-c0_g1_i1","Pc13g12110"
"TR6074-c0_g1_i1","Pc13g12110"
"TR14070-c0_g1_i1","Pc13g12110"
"TR2255-c0_g1_i1","Pc13g12130"
"TR13006-c0_g1_i1","Pc13g12130"
"TR2625-c0_g1_i1","Pc13g12140"
"TR10998-c0_g1_i1","Pc13g12160"
"TR7022-c0_g1_i1","Pc13g12220"
"TR12462-c0_g1_i1","Pc13g12220"
"TR12762-c0_g1_i1","Pc13g12230"
"TR10786-c0_g1_i1","Pc13g12240"
"TR4457-c0_g1_i1","Pc13g12240"
"TR12314-c0_g1_i1","Pc13g12240"
"TR5427-c0_g1_i1","Pc13g12240"
"TR12744-c0_g1_i1","Pc13g12240"
"TR13449-c0_g1_i1","Pc13g12240"
"TR3666-c0_g1_i1","Pc13g12240"
"TR1774-c0_g1_i1","Pc13g12240"
"TR6599-c0_g1_i1","Pc13g12240"
"TR9762-c0_g1_i1","Pc13g12240"
"TR8268-c0_g1_i1","Pc13g12240"
"TR6707-c0_g1_i1","Pc13g12240"
"TR12276-c0_g1_i1","Pc13g12290"
"TR2510-c0_g1_i1","Pc13g12320"
"TR2510-c0_g2_i1","Pc13g12320"
"TR4947-c1_g1_i1","Pc13g12330"
"TR4947-c0_g1_i1","Pc13g12330"
"TR6946-c0_g1_i1","Pc13g12330"
"TR1273-c0_g1_i1","Pc13g12330"
"TR3654-c0_g1_i1","Pc13g12330"
"TR7376-c0_g1_i1","Pc13g12330"
"TR1147-c1_g1_i1","Pc13g12330"
"TR13113-c0_g1_i1","Pc13g12330"
"TR6934-c0_g1_i1","Pc13g12330"
"TR8621-c0_g1_i1","Pc13g12380"
"TR6695-c0_g1_i1","Pc13g12450"
"TR12623-c0_g1_i1","Pc13g12490"
"TR10351-c0_g1_i1","Pc13g12490"
"TR13986-c0_g1_i1","Pc13g12510"
"TR2056-c0_g1_i1","Pc13g12510"
"TR8856-c0_g1_i1","Pc13g12580"
"TR6507-c0_g1_i1","Pc13g12620"
"TR12757-c0_g1_i1","Pc13g12650"
"TR1307-c0_g1_i1","Pc13g12740"
"TR11315-c0_g1_i1","Pc13g12770"
"TR3289-c0_g1_i1","Pc13g12780"
"TR551-c0_g1_i1","Pc13g12780"
"TR4180-c0_g1_i1","Pc13g12800"
"TR1190-c0_g1_i1","Pc13g12820"
"TR260-c0_g1_i1","Pc13g12850"
"TR335-c0_g1_i1","Pc13g12860"
"TR9-c0_g1_i1","Pc13g12870"
"TR12612-c0_g1_i1","Pc13g12930"
"TR12833-c0_g1_i1","Pc13g12940"
"TR12634-c0_g1_i1","Pc13g12980"
"TR14797-c0_g1_i1","Pc13g12990"
"TR104-c0_g1_i1","Pc13g13010"
"TR11232-c0_g1_i1","Pc13g13080"
"TR9009-c0_g1_i1","Pc13g13110"
"TR10443-c0_g1_i1","Pc13g13110"
"TR10050-c1_g1_i1","Pc13g13130"
"TR10050-c0_g1_i1","Pc13g13130"
"TR5914-c0_g1_i1","Pc13g13170"
"TR10332-c0_g1_i1","Pc13g13170"
"TR9152-c0_g1_i1","Pc13g13170"
"TR5153-c0_g1_i1","Pc13g13170"
"TR9828-c0_g1_i1","Pc13g13170"
"TR4415-c0_g1_i1","Pc13g13180"
"TR4635-c0_g1_i1","Pc13g13200"
"TR1254-c0_g1_i1","Pc13g13200"
"TR2605-c0_g1_i1","Pc13g13230"
"TR2375-c0_g1_i1","Pc13g13240"
"TR2724-c0_g1_i1","Pc13g13270"
"TR14245-c0_g1_i1","Pc13g13270"
"TR906-c0_g1_i1","Pc13g13270"
"TR5437-c0_g1_i1","Pc13g13270"
"TR13851-c0_g1_i1","Pc13g13280"
"TR867-c0_g1_i1","Pc13g13330"
"TR12013-c0_g1_i1","Pc13g13330"
"TR5992-c0_g1_i1","Pc13g13360"
"TR8326-c0_g1_i1","Pc13g13410"
"TR645-c0_g1_i1","Pc13g13410"
"TR10229-c0_g1_i1","Pc13g13410"
"TR1826-c0_g1_i1","Pc13g13410"
"TR8262-c0_g1_i1","Pc13g13460"
"TR11837-c0_g1_i1","Pc13g13460"
"TR12447-c0_g1_i1","Pc13g13460"
"TR3829-c0_g1_i1","Pc13g13470"
"TR3829-c0_g2_i1","Pc13g13470"
"TR7047-c0_g1_i1","Pc13g13470"
"TR7414-c0_g1_i1","Pc13g13480"
"TR14457-c0_g1_i1","Pc13g13490"
"TR5959-c0_g1_i1","Pc13g13490"
"TR11080-c0_g1_i1","Pc13g13500"
"TR5867-c0_g1_i1","Pc13g13500"
"TR5433-c0_g1_i1","Pc13g13500"
"TR7360-c0_g1_i1","Pc13g13510"
"TR2023-c0_g1_i1","Pc13g13530"
"TR14822-c0_g1_i1","Pc13g13540"
"TR2607-c0_g1_i1","Pc13g13550"
"TR11316-c0_g1_i1","Pc13g13560"
"TR764-c0_g1_i1","Pc13g13570"
"TR3055-c0_g1_i1","Pc13g13580"
"TR13817-c0_g1_i1","Pc13g13600"
"TR10958-c0_g1_i1","Pc13g13710"
"TR8793-c0_g1_i1","Pc13g13730"
"TR14741-c0_g1_i1","Pc13g13730"
"TR3198-c0_g1_i1","Pc13g13770"
"TR1496-c0_g1_i1","Pc13g13770"
"TR3335-c0_g1_i1","Pc13g13810"
"TR13011-c0_g1_i1","Pc13g13810"
"TR3907-c0_g1_i1","Pc13g13910"
"TR10607-c0_g1_i1","Pc13g13960"
"TR2175-c0_g1_i1","Pc13g13960"
"TR13867-c0_g1_i1","Pc13g13980"
"TR5016-c0_g1_i1","Pc13g13990"
"TR5505-c0_g1_i1","Pc13g14000"
"TR7339-c0_g1_i1","Pc13g14030"
"TR15072-c0_g1_i1","Pc13g14150"
"TR9211-c0_g1_i1","Pc13g14260"
"TR9211-c0_g2_i1","Pc13g14260"
"TR13303-c0_g1_i1","Pc13g14310"
"TR13303-c0_g2_i1","Pc13g14310"
"TR11816-c0_g1_i1","Pc13g14380"
"TR3467-c0_g1_i1","Pc13g14380"
"TR6382-c0_g1_i1","Pc13g14400"
"TR15238-c0_g1_i1","Pc13g14460"
"TR122-c0_g1_i1","Pc13g14480"
"TR2727-c0_g1_i1","Pc13g14480"
"TR11323-c0_g1_i1","Pc13g14510"
"TR12858-c0_g1_i1","Pc13g14530"
"TR5956-c0_g1_i1","Pc13g14540"
"TR10389-c0_g1_i1","Pc13g14550"
"TR9976-c0_g1_i1","Pc13g14630"
"TR1582-c0_g1_i1","Pc13g14670"
"TR2699-c0_g1_i1","Pc13g14680"
"TR6280-c0_g1_i1","Pc13g14820"
"TR12226-c0_g1_i1","Pc13g14870"
"TR8360-c0_g1_i1","Pc13g14870"
"TR11781-c0_g1_i1","Pc13g14940"
"TR11992-c0_g1_i1","Pc13g14940"
"TR8122-c1_g1_i1","Pc13g14940"
"TR11026-c0_g1_i1","Pc13g14980"
"TR839-c0_g1_i1","Pc13g15010"
"TR5597-c0_g1_i1","Pc13g15030"
"TR9332-c0_g1_i1","Pc13g15040"
"TR8449-c0_g1_i1","Pc13g15040"
"TR1257-c0_g1_i1","Pc13g15110"
"TR3279-c0_g1_i1","Pc13g15120"
"TR7679-c0_g1_i1","Pc13g15120"
"TR761-c0_g1_i1","Pc13g15140"
"TR6333-c0_g1_i1","Pc13g15170"
"TR1173-c0_g1_i1","Pc13g15180"
"TR10507-c0_g1_i1","Pc13g15180"
"TR5866-c0_g1_i1","Pc13g15180"
"TR651-c0_g1_i1","Pc13g15190"
"TR11456-c0_g1_i1","Pc13g15200"
"TR4015-c0_g1_i1","Pc13g15260"
"TR97-c0_g1_i1","Pc13g15270"
"TR9695-c0_g1_i1","Pc13g15290"
"TR13740-c0_g1_i1","Pc13g15290"
"TR1271-c1_g1_i1","Pc13g15300"
"TR13255-c0_g1_i1","Pc13g15320"
"TR8180-c0_g1_i1","Pc13g15350"
"TR134-c0_g1_i1","Pc13g15350"
"TR10929-c0_g1_i1","Pc13g15350"
"TR1039-c0_g1_i1","Pc13g15360"
"TR3577-c0_g1_i1","Pc13g15360"
"TR8369-c0_g1_i1","Pc13g15360"
"TR8270-c0_g1_i1","Pc13g15360"
"TR11413-c0_g1_i1","Pc13g15370"
"TR5837-c0_g1_i1","Pc13g15380"
"TR15116-c0_g1_i1","Pc13g15380"
"TR3923-c0_g1_i1","Pc13g15390"
"TR4476-c0_g1_i1","Pc13g15400"
"TR10160-c0_g1_i1","Pc13g15420"
"TR11175-c0_g1_i1","Pc13g15440"
"TR14027-c0_g1_i1","Pc13g15440"
"TR14389-c0_g1_i1","Pc13g15450"
"TR8464-c0_g1_i1","Pc13g15460"
"TR15269-c0_g1_i1","Pc13g15460"
"TR5216-c0_g1_i1","Pc13g15470"
"TR10824-c0_g1_i1","Pc13g15480"
"TR3698-c0_g1_i1","Pc13g15490"
"TR9729-c0_g1_i1","Pc13g15520"
"TR13911-c0_g1_i1","Pc13g15530"
"TR3992-c0_g1_i1","Pc13g15560"
"TR4008-c0_g1_i1","Pc13g15570"
"TR8129-c0_g1_i1","Pc13g15570"
"TR10844-c0_g1_i1","Pc13g15570"
"TR14023-c0_g1_i1","Pc13g15590"
"TR7462-c0_g1_i1","Pc13g15670"
"TR14301-c0_g1_i1","Pc13g15680"
"TR722-c0_g1_i1","Pc13g15680"
"TR9300-c0_g1_i1","Pc13g15700"
"TR2289-c0_g1_i1","Pc13g15710"
"TR14752-c0_g1_i1","Pc13g15730"
"TR3783-c0_g1_i1","Pc13g15750"
"TR4203-c0_g1_i1","Pc13g15760"
"TR5101-c0_g1_i1","Pc13g15810"
"TR14439-c0_g1_i1","Pc13g15820"
"TR5577-c0_g1_i1","Pc13g15830"
"TR13505-c0_g1_i1","Pc13g15830"
"TR8536-c0_g1_i1","Pc13g15840"
"TR1504-c0_g1_i1","Pc13g15840"
"TR2851-c0_g1_i1","Pc13g15880"
"TR2060-c0_g1_i1","Pc13g15880"
"TR2058-c0_g1_i1","Pc13g15880"
"TR831-c0_g1_i1","Pc13g15880"
"TR2267-c0_g1_i1","Pc13g15880"
"TR5827-c0_g1_i1","Pc14g00040"
"TR9913-c1_g1_i1","Pc14g00040"
"TR9913-c0_g1_i1","Pc14g00040"
"TR10396-c0_g1_i1","Pc14g00080"
"TR14593-c0_g1_i1","Pc14g00150"
"TR12099-c0_g1_i1","Pc14g00160"
"TR294-c0_g1_i1","Pc14g00170"
"TR3204-c0_g1_i1","Pc14g00280"
"TR9453-c0_g1_i1","Pc14g00320"
"TR5843-c0_g1_i1","Pc14g00320"
"TR14429-c0_g1_i1","Pc14g00320"
"TR10920-c0_g1_i1","Pc14g00320"
"TR10751-c0_g1_i1","Pc14g00330"
"TR2620-c0_g1_i1","Pc14g00330"
"TR5349-c0_g1_i1","Pc14g00330"
"TR6311-c0_g1_i1","Pc14g00340"
"TR15283-c0_g1_i1","Pc14g00390"
"TR14527-c0_g1_i1","Pc14g00390"
"TR5051-c0_g1_i1","Pc14g00390"
"TR3713-c0_g1_i1","Pc14g00400"
"TR6383-c0_g1_i1","Pc14g00480"
"TR9476-c0_g1_i1","Pc14g00500"
"TR3074-c0_g1_i1","Pc14g00560"
"TR13988-c0_g1_i1","Pc14g00570"
"TR3775-c0_g1_i1","Pc14g00590"
"TR15218-c0_g1_i1","Pc14g00620"
"TR3029-c0_g1_i1","Pc14g00640"
"TR1486-c0_g1_i1","Pc14g00640"
"TR6410-c0_g1_i1","Pc14g00640"
"TR2464-c0_g1_i1","Pc14g00640"
"TR4305-c0_g1_i1","Pc14g00650"
"TR7371-c0_g1_i1","Pc14g00660"
"TR12960-c0_g1_i1","Pc14g00670"
"TR2260-c0_g1_i1","Pc14g00680"
"TR10825-c0_g1_i1","Pc14g00680"
"TR14131-c0_g1_i1","Pc14g00690"
"TR8634-c0_g1_i1","Pc14g00730"
"TR10935-c0_g1_i1","Pc14g00740"
"TR874-c0_g1_i1","Pc14g00740"
"TR59-c0_g1_i1","Pc14g00740"
"TR4543-c0_g1_i1","Pc14g00740"
"TR12234-c0_g1_i1","Pc14g00740"
"TR5102-c0_g1_i1","Pc14g00740"
"TR1674-c0_g1_i1","Pc14g00750"
"TR14885-c0_g1_i1","Pc14g00750"
"TR11622-c0_g1_i1","Pc14g00760"
"TR2580-c0_g1_i1","Pc14g00770"
"TR1762-c0_g1_i1","Pc14g00770"
"TR4363-c0_g1_i1","Pc14g00780"
"TR3875-c0_g1_i1","Pc14g00790"
"TR349-c0_g1_i1","Pc14g00820"
"TR2386-c0_g1_i1","Pc14g00830"
"TR12605-c0_g1_i1","Pc14g00850"
"TR5421-c0_g1_i1","Pc14g00900"
"TR11008-c0_g1_i1","Pc14g01120"
"TR11185-c0_g1_i1","Pc14g01130"
"TR9283-c0_g1_i1","Pc14g01140"
"TR10960-c0_g1_i1","Pc14g01170"
"TR802-c0_g1_i1","Pc14g01190"
"TR6921-c0_g1_i1","Pc14g01200"
"TR3265-c0_g1_i1","Pc14g01200"
"TR13509-c0_g1_i1","Pc14g01210"
"TR12777-c0_g1_i1","Pc14g01220"
"TR12777-c0_g2_i1","Pc14g01220"
"TR5757-c0_g1_i1","Pc14g01230"
"TR9462-c0_g1_i1","Pc14g01260"
"TR4279-c0_g1_i1","Pc14g01270"
"TR12530-c0_g1_i1","Pc14g01330"
"TR9912-c0_g1_i1","Pc14g01340"
"TR1547-c0_g1_i1","Pc14g01390"
"TR5110-c0_g1_i1","Pc14g01390"
"TR14392-c0_g1_i1","Pc14g01390"
"TR4879-c0_g1_i1","Pc14g01410"
"TR13424-c0_g1_i1","Pc14g01420"
"TR13828-c0_g1_i1","Pc14g01440"
"TR4136-c0_g1_i1","Pc14g01460"
"TR359-c0_g2_i1","Pc14g01490"
"TR359-c0_g1_i1","Pc14g01490"
"TR11106-c0_g1_i1","Pc14g01500"
"TR8740-c0_g1_i1","Pc14g01510"
"TR12933-c0_g1_i1","Pc14g01510"
"TR13983-c0_g1_i1","Pc14g01510"
"TR3435-c0_g1_i1","Pc14g01510"
"TR12282-c0_g1_i1","Pc14g01510"
"TR12927-c0_g1_i1","Pc14g01550"
"TR7977-c0_g1_i1","Pc14g01630"
"TR14686-c0_g1_i1","Pc14g01660"
"TR14151-c0_g1_i1","Pc14g01670"
"TR14802-c0_g1_i1","Pc14g01680"
"TR8399-c0_g1_i1","Pc14g01690"
"TR4075-c0_g1_i1","Pc14g01730"
"TR6933-c0_g1_i1","Pc14g01740"
"TR14025-c0_g1_i1","Pc14g01750"
"TR10864-c1_g1_i1","Pc14g01760"
"TR14173-c0_g1_i1","Pc14g01760"
"TR4138-c0_g1_i1","Pc14g01760"
"TR4121-c0_g1_i1","Pc14g01760"
"TR10864-c0_g1_i1","Pc14g01760"
"TR15203-c1_g1_i1","Pc14g01790"
"TR11867-c0_g1_i1","Pc14g01790"
"TR4899-c0_g1_i1","Pc14g01790"
"TR15203-c2_g1_i1","Pc14g01790"
"TR9196-c0_g1_i1","Pc14g01820"
"TR6708-c0_g1_i1","Pc14g01820"
"TR12818-c0_g1_i1","Pc14g01890"
"TR2623-c0_g1_i1","Pc14g01890"
"TR8433-c0_g1_i1","Pc14g01930"
"TR14470-c0_g1_i1","Pc14g01930"
"TR3757-c0_g1_i1","Pc14g01930"
"TR7885-c0_g1_i1","Pc14g01950"
"TR1691-c0_g1_i1","Pc14g01960"
"TR7266-c0_g1_i1","Pc14g01970"
"TR835-c0_g1_i1","Pc14g01980"
"TR1685-c0_g1_i1","Pc14g01990"
"TR15054-c0_g1_i1","Pc14g02000"
"TR921-c0_g1_i1","Pc14g02010"
"TR9226-c0_g1_i1","Pc15g00060"
"TR12722-c0_g1_i1","Pc15g00080"
"TR10351-c1_g1_i1","Pc15g00090"
"TR674-c0_g1_i1","Pc15g00100"
"TR484-c0_g1_i1","Pc15g00120"
"TR1854-c0_g1_i1","Pc15g00140"
"TR8367-c0_g1_i1","Pc15g00150"
"TR186-c0_g1_i1","Pc15g00160"
"TR12087-c0_g1_i1","Pc15g00170"
"TR9759-c0_g1_i1","Pc15g00180"
"TR4541-c0_g1_i1","Pc15g00210"
"TR4900-c0_g1_i1","Pc15g00260"
"TR12267-c0_g1_i1","Pc15g00270"
"TR12925-c0_g1_i1","Pc15g00280"
"TR9147-c0_g1_i1","Pc15g00280"
"TR6549-c0_g1_i1","Pc15g00280"
"TR5598-c0_g1_i1","Pc15g00280"
"TR1690-c1_g1_i1","Pc15g00310"
"TR1690-c0_g1_i1","Pc15g00310"
"TR10831-c0_g1_i1","Pc15g00320"
"TR9214-c0_g1_i1","Pc15g00320"
"TR9899-c0_g1_i1","Pc15g00330"
"TR7421-c0_g1_i1","Pc15g00360"
"TR12346-c0_g1_i1","Pc15g00380"
"TR7528-c0_g1_i1","Pc15g00430"
"TR2276-c0_g1_i1","Pc15g00440"
"TR693-c0_g1_i1","Pc15g00450"
"TR4049-c0_g1_i1","Pc15g00480"
"TR12502-c0_g1_i1","Pc15g00480"
"TR12260-c0_g1_i1","Pc15g00500"
"TR14166-c0_g1_i1","Pc15g00500"
"TR15121-c0_g1_i1","Pc15g00500"
"TR4473-c0_g1_i1","Pc15g00500"
"TR8535-c0_g1_i1","Pc15g00500"
"TR12602-c0_g1_i1","Pc15g00500"
"TR15173-c0_g1_i1","Pc15g00500"
"TR14692-c0_g1_i1","Pc15g00510"
"TR6098-c0_g1_i1","Pc15g00540"
"TR6366-c0_g1_i1","Pc15g00570"
"TR6603-c0_g1_i1","Pc15g00580"
"TR8243-c0_g1_i1","Pc15g00590"
"TR2655-c0_g1_i1","Pc15g00600"
"TR2544-c0_g1_i1","Pc15g00620"
"TR10288-c0_g1_i1","Pc15g00630"
"TR9765-c0_g1_i1","Pc15g00640"
"TR5254-c0_g1_i1","Pc15g00650"
"TR1712-c0_g1_i1","Pc15g00680"
"TR12743-c0_g1_i1","Pc15g00690"
"TR8996-c0_g1_i1","Pc15g00710"
"TR11126-c0_g1_i1","Pc15g00710"
"TR2803-c1_g1_i1","Pc15g00770"
"TR10093-c0_g1_i1","Pc15g00790"
"TR3175-c0_g2_i1","Pc15g00810"
"TR3175-c0_g1_i1","Pc15g00810"
"TR5045-c0_g1_i1","Pc15g00810"
"TR4064-c0_g1_i1","Pc15g00820"
"TR5602-c0_g1_i1","Pc15g00820"
"TR10535-c0_g1_i1","Pc15g00820"
"TR15101-c0_g1_i1","Pc15g00840"
"TR11425-c0_g1_i1","Pc15g00870"
"TR6523-c0_g1_i1","Pc15g00910"
"TR8285-c0_g1_i1","Pc15g00910"
"TR13431-c1_g1_i1","Pc15g00910"
"TR11679-c0_g1_i1","Pc15g00940"
"TR13890-c0_g1_i1","Pc15g00940"
"TR5738-c0_g1_i1","Pc15g00960"
"TR12405-c0_g1_i1","Pc15g00960"
"TR54-c0_g1_i1","Pc15g01090"
"TR1637-c0_g1_i1","Pc15g01090"
"TR11912-c0_g1_i1","Pc15g01090"
"TR14865-c0_g1_i1","Pc15g01230"
"TR14854-c0_g1_i1","Pc15g01240"
"TR653-c0_g1_i1","Pc15g01260"
"TR653-c0_g2_i1","Pc15g01260"
"TR15189-c0_g1_i1","Pc15g01320"
"TR5148-c0_g1_i1","Pc15g01400"
"TR2501-c0_g1_i1","Pc15g01400"
"TR11763-c0_g1_i1","Pc15g01510"
"TR14658-c0_g1_i1","Pc15g01750"
"TR13982-c0_g1_i1","Pc15g01770"
"TR9539-c0_g1_i1","Pc15g01810"
"TR12018-c0_g1_i1","Pc15g01810"
"TR11208-c0_g1_i1","Pc15g01810"
"TR13818-c1_g1_i1","Pc15g01820"
"TR11284-c0_g1_i1","Pc15g01840"
"TR3234-c0_g1_i1","Pc15g01870"
"TR10432-c0_g1_i1","Pc15g01870"
"TR13309-c0_g1_i1","Pc15g01870"
"TR6494-c0_g1_i1","Pc15g01870"
"TR7843-c0_g1_i1","Pc15g01870"
"TR1512-c0_g1_i1","Pc15g01890"
"TR1240-c0_g1_i1","Pc15g01900"
"TR6725-c0_g1_i1","Pc15g01920"
"TR6552-c0_g1_i1","Pc15g02030"
"TR5628-c0_g1_i1","Pc16g00040"
"TR13116-c0_g1_i1","Pc16g00090"
"TR424-c0_g1_i1","Pc16g00090"
"TR12050-c0_g1_i1","Pc16g00130"
"TR10132-c0_g1_i1","Pc16g00130"
"TR4903-c0_g1_i1","Pc16g00130"
"TR4158-c0_g1_i1","Pc16g00160"
"TR11340-c0_g1_i1","Pc16g00160"
"TR13809-c0_g1_i1","Pc16g00160"
"TR4112-c0_g1_i1","Pc16g00160"
"TR4112-c1_g1_i1","Pc16g00160"
"TR3952-c0_g1_i1","Pc16g00160"
"TR13929-c0_g1_i1","Pc16g00340"
"TR6376-c0_g1_i1","Pc16g00350"
"TR1519-c0_g1_i1","Pc16g00350"
"TR14867-c0_g1_i1","Pc16g00390"
"TR14990-c0_g1_i1","Pc16g00400"
